bl_part_id,boid,bk_part_id,item_type,brikick_name,api_item_type,bk_part_key,bl_color_id,bo_color_id,bk_color_id,weight,bk_img_url
64782pb014R,,,P,,,,0,,0,8.8,
64782pb015L,,,P,,,,0,,0,8.8,
64782pb015R,,,P,,,,0,,0,8.8,
64782pb016L,,,P,,,,0,,0,8.8,
64782pb016R,,,P,,,,0,,0,8.8,
64782pb017L,,,P,,,,0,,0,8.8,
64782pb017R,,,P,,,,0,,0,8.8,
64782pb018,,,P,,,,0,,0,8.8,
64782pb019,,,P,,,,0,,0,8.8,
64782pb020L,,,P,,,,0,,0,8.8,
64782pb020R,,,P,,,,0,,0,8.8,
64782pb021L,,,P,,,,0,,0,8.8,
64782pb021R,,,P,,,,0,,0,8.8,
64782pb022,,,P,,,,0,,0,8.8,
64782pb023L,,,P,,,,0,,0,8.8,
64782pb023R,,,P,,,,0,,0,8.8,
64782pb024L,,,P,,,,0,,0,8.8,
64782pb024R,,,P,,,,0,,0,8.8,
64782pb025,,,P,,,,0,,0,8.8,
64782pb026,,,P,,,,0,,0,8.8,
64782pb027,,,P,,,,0,,0,8.8,
64782pb028,,,P,,,,0,,0,8.8,
64782pb029,,,P,,,,0,,0,8.8,
64782pb030,,,P,,,,0,,0,8.8,
64782pb031,,,P,,,,0,,0,8.8,
64782pb032L,,,P,,,,0,,0,8.8,
64782pb032R,,,P,,,,0,,0,8.8,
64782pb033L,,,P,,,,0,,0,8.8,
64782pb033R,,,P,,,,0,,0,8.8,
64782pb034,,,P,,,,0,,0,8.8,
64782pb035,,,P,,,,0,,0,8.8,
64782pb036,,,P,,,,0,,0,8.8,
64782pb037,,,P,,,,0,,0,8.8,
64782pb038L,,,P,,,,0,,0,8.8,
64782pb038R,,,P,,,,0,,0,8.8,
64782pb039L,,,P,,,,0,,0,8.8,
64782pb039R,,,P,,,,0,,0,8.8,
64782pb040L,,,P,,,,0,,0,8.8,
64782pb040R,,,P,,,,0,,0,8.8,
64782pb041,,,P,,,,0,,0,8.8,
64782pb042,,,P,,,,0,,0,8.8,
64782pb043,,,P,,,,0,,0,8.8,
64782pb044,,,P,,,,0,,0,8.8,
64782pb045,,,P,,,,0,,0,8.8,
64782pb046,,,P,,,,0,,0,8.8,
64782pb047,,,P,,,,0,,0,8.8,
64782pb048L,,,P,,,,0,,0,8.8,
64782pb048R,,,P,,,,0,,0,8.8,
64782pb049,,,P,,,,0,,0,8.8,
64782pb050,,,P,,,,0,,0,8.8,
64782pb051,,,P,,,,0,,0,8.8,
64782pb052,,,P,,,,0,,0,8.8,
64782pb053L,,,P,,,,0,,0,8.8,
64782pb053R,,,P,,,,0,,0,8.8,
64782pb054L,,,P,,,,0,,0,8.8,
64782pb054R,,,P,,,,0,,0,8.8,
64782pb055,,,P,,,,0,,0,8.8,
64782pb056,,,P,,,,0,,0,8.8,
64782pb057L,,,P,,,,0,,0,8.8,
64782pb057R,,,P,,,,0,,0,8.8,
64782pb058L,,,P,,,,0,,0,8.8,
64782pb058R,,,P,,,,0,,0,8.8,
64782pb059L,,,P,,,,0,,0,8.8,
64782pb059R,,,P,,,,0,,0,8.8,
64782pb060L,,,P,,,,0,,0,8.8,
64782pb060R,,,P,,,,0,,0,8.8,
64782pb061L,,,P,,,,0,,0,8.8,
64782pb061R,,,P,,,,0,,0,8.8,
64782pb062,,,P,,,,0,,0,8.8,
64782pb063,,,P,,,,0,,0,8.8,
64782pb064L,,,P,,,,0,,0,8.8,
64782pb064R,,,P,,,,0,,0,8.8,
64782pb065L,,,P,,,,0,,0,8.8,
64782pb065R,,,P,,,,0,,0,8.8,
64782pb066,,,P,,,,0,,0,8.8,
64782pb067L,,,P,,,,0,,0,8.8,
64782pb067R,,,P,,,,0,,0,8.8,
64782pb068,,,P,,,,0,,0,8.8,
64783,,,P,,,,0,,0,0.36,
64784pb01,,,P,,,,0,,0,2.52,
64784pb01c01,,,P,,,,0,,0,3.4,
64784pb02,,,P,,,,0,,0,2.52,
64784pb02c01,,,P,,,,0,,0,3.4,
64785pb01,,,P,,,,0,,0,0.84,
6479,889404-92,,P,,,,1,92,176,11.76,
6479,889404-93,,P,,,,3,93,177,11.76,
6479,889404-80,,P,,,,4,80,102,11.76,
6479,889404-39,,P,,,,7,39,6,11.76,
6479,889404-46,,P,,,,8,46,13,11.76,
6479,889404-43,,P,,,,110,43,10,11.76,
64796,477071-119,,P,,,,77,119,104,0.55,
64797,857331-56,,P,,,,59,56,33,0.88,
64797,857331-50,,P,,,,85,50,25,0.88,
64798,611229-92,,P,,,,1,92,176,0.5,
64798,611229-89,,P,,,,2,89,143,0.5,
64798,611229-61,,P,,,,6,61,54,0.5,
64798,611229-38,,P,,,,11,38,5,0.5,
64798,611229-70,,P,,,,34,70,73,0.5,
64798,611229-20,,P,,,,80,20,28,0.5,
64798,611229-50,,P,,,,85,50,25,0.5,
64798,611229-64,,P,,,,86,64,59,0.5,
64798,611229-82,,P,,,,88,82,117,0.5,
64798pb01,226355-38,,P,,,,11,38,5,0.5,
64799,154850-92,,P,,,,1,92,176,2.0,
64799,154850-89,,P,,,,2,89,143,2.0,
64799,154850-93,,P,,,,3,93,177,2.0,
64799,154850-81,,P,,,,5,81,116,2.0,
64799,154850-39,,P,,,,7,39,6,2.0,
64799,154850-38,,P,,,,11,38,5,2.0,
64799,154850-18,,P,,,,48,18,126,2.0,
64799,154850-50,,P,,,,85,50,25,2.0,
64799,154850-64,,P,,,,86,64,59,2.0,
64799,154850-82,,P,,,,88,82,117,2.0,
64799,154850-47,,P,,,,153,47,23,2.0,
64799pb001,551789-64,,P,,,,86,64,59,1.91,
6479stk01,,,P,,,,0,,0,0.0,
647pb01,,,P,,,,0,,0,0.79,
648,,,P,,,,0,,0,30.0,
64800pb01c01,943553-64,,P,,,,86,64,59,19.9,
64800pb01c01f,946524-64,,P,,,,86,64,59,20.0,
64800pb01c02,,,P,,,,0,,0,20.0,
64800pb01c02f,,,P,,,,0,,0,20.2,
64802,636174-92,,P,,,,1,92,176,0.48,
64802,636174-39,,P,,,,7,39,6,0.48,
64802,636174-18,,P,,,,48,18,126,0.48,
64802,636174-119,,P,,,,77,119,104,0.48,
64802,636174-50,,P,,,,85,50,25,0.48,
64802,636174-117,,P,,,,95,117,44,0.48,
64803,,,P,,,,0,,0,0.74,
64803pb01,27280-57,,P,,,,69,57,36,0.74,
64803pb02,421703-57,,P,,,,69,57,36,0.74,
64803pb03,108378-57,,P,,,,69,57,36,0.74,
64804pb01,626299-18,,P,,,,48,18,126,0.8,
64804pb02,88408-18,,P,,,,48,18,126,0.8,
64805pb01,81948-64,,P,,,,86,64,59,2.33,
64805pb02,961354-82,,P,,,,88,82,117,2.34,
64805pb03,443325-82,,P,,,,88,82,117,2.35,
64805pb04,936017-38,,P,,,,11,38,5,2.35,
64805pb05,992305-57,,P,,,,69,57,36,2.35,
64805pb06,422269-82,,P,,,,88,82,117,2.35,
64805pb07,471521-82,,P,,,,88,82,117,2.38,
64806,,,P,,,,0,,0,0.76,
64806pb01,720686-39,,P,,,,7,39,6,0.76,
64806pb02,593025-39,,P,,,,7,39,6,0.76,
64806pb03,111267-39,,P,,,,7,39,6,0.76,
64807,71279-92,,P,,,,1,92,176,0.59,
64807,71279-38,,P,,,,11,38,5,0.59,
64807,71279-57,,P,,,,69,57,36,0.59,
64807,71279-64,,P,,,,86,64,59,0.59,
64807,71279-82,,P,,,,88,82,117,0.59,
64807,71279-44,,P,,,,103,44,11,0.59,
64807,71279-51,,P,,,,120,51,26,0.59,
64807,71279-74,,P,,,,150,74,79,0.59,
64808pb01,357377-54,,P,,,,68,54,30,1.43,
64808pb02,548766-54,,P,,,,68,54,30,1.43,
64808pb03,811735-119,,P,,,,77,119,104,1.43,
64808pb04,719160-64,,P,,,,86,64,59,1.43,
64808pb05,1187062-54,,P,,,,68,54,30,1.45,
