bl_part_id,bl_color_id,boid
970c00pb0521,5,543629
970c00pb0522,34,528210
970c00pb0523,34,884300
970c00pb0524,1,945069
970c00pb0525,86,78722
970c00pb0526,55,257069
970c00pb0527,69,82410
970c00pb0528,69,144576
970c00pb0529,120,52470
970c00pb0530,11,233949
970c00pb0531,85,177931
970c00pb0533,11,294078
970c00pb0534,1,745012
970c00pb0535,86,56388
970c00pb0536,2,322255
970c00pb0537,105,132219
970c00pb0537,5,132219
970c00pb0538,1,557327
970c00pb0539,80,474177
970c00pb0540,80,373347
970c00pb0541,11,164028
970c00pb0542,11,299617
970c00pb0543,11,667640
970c00pb0544,11,891646
970c00pb0545,11,508592
970c00pb0546,69,731033
970c00pb0547,120,439412
970c00pb0548,11,403553
970c00pb0549,4,362894
970c00pb0550,11,393417
970c00pb0551,68,515702
970c00pb0552,1,328823
